Index,Pointer,Bit,Name
0,541274768,0,
1,541274768,1,Prison 1F Graveyard - Zombie (Respawns)
2,541274768,2,Prison 1F Graveyard - Zombie (Respawns)
3,541274768,3,Prison 1F Graveyard - Zombie (Respawns)
4,541274768,4,Prison 1F Graveyard - Zombie
5,541274768,5,Prison 1F Graveyard - Zombie (Free Kill)
6,541274768,6,Prison 1F Yard - Zombie (Respawns)
7,541274768,7,Prison 1F Yard - Zombie (Respawns)
8,541274768,8,Prison 1F Yard - Zombie (Respawns)
9,541274768,9,Prison 1F Yard - Zombie (Respawns)
10,541274768,10,Prison 1F Barracks Yard - Dog
11,541274768,11,Prison 1F Barracks Yard - Dog
12,541274768,12,Prison 1F Barracks - Zombie
13,541274768,13,Prison 1F Barracks - Zombie
14,541274768,14,Prison 1F Barracks - Zombie
15,541274768,15,Prison 1F Barracks - Zombie
16,541274768,16,Prison 1F Bunkhouse - Zombie
17,541274768,17,Prison 1F Bunkhouse - Zombie
18,541274768,18,Prison 1F Bunkhouse - Zombie
19,541274768,19,Prison 1F Execution Yard - Zombie (Respawns behind Shutter)
20,541274768,20,Prison 1F Execution Yard - Zombie (Respawns behind Shutter)
21,541274768,21,Prison 1F Execution Yard - Zombie (Respawns behind Shutter)
22,541274768,22,Prison 1F Execution Yard - Zombie
23,541274768,23,Prison 1F Execution Yard - Zombie
24,541274768,24,Prison 1F Execution Yard - Zombie
25,541274768,25,Prison 1F Execution Yard - Zombie
26,541274768,26,Prison 1F Execution Yard - Zombie
27,541274768,27,Prison 1F Execution Yard - Explosive
28,541274768,28,
29,541274768,29,Prison 1F Security Corridor - Zombie
30,541274768,30,Prison 1F Security Corridor - Zombie
31,541274768,31,
32,541274772,0,
33,541274772,1,
34,541274772,2,
35,541274772,3,Prison 1F Clinic - Dr. Zombie
36,541274772,4,Prison 1F Clinic - Zombie
37,541274772,5,Prison 1F Cremetorium - Zombie
38,541274772,6,Prison 1F Cremetorium - Zombie
39,541274772,7,Prison 1F Cremetorium - Zombie
40,541274772,8,Prison 1F Cremetorium - Zombie
41,541274772,9,Prison 1F Secret Corridor - Bat
42,541274772,10,Prison 1F Secret Corridor - Bat
43,541274772,11,Prison 1F Secret Corridor - Bat
44,541274772,12,Prison 1F Secret Corridor - Bat
45,541274772,13,Prison 1F Secret Corridor - Bat
46,541274772,14,Prison 1F Torture Chamber - Zombie
47,541274772,15,Prison 1F Torture Chamber - Zombie
48,541274772,16,Prison 1F Torture Chamber - Zombie
49,541274772,17,
50,541274772,18,Prison 1F Statue Room - Zombie
51,541274772,19,Prison 1F Security Corridor - Zombie
52,541274772,20,Prison 1F Security Corridor - Zombie
53,541274772,21,Prison 1F Security Corridor - Zombie (Respawns in Backyard)
54,541274772,22,Prison 1F Backyard - Zombie (Respawns)
55,541274772,23,Prison 1F Backyard - Zombie (Respawns)
56,541274772,24,Prison 1F Backyard - Explosive
57,541274772,25,Prison 1F Backyard - Explosive
58,541274772,26,Palace Courtyard - Dog
59,541274772,27,Palace Courtyard - Dog
60,541274772,28,Palace Courtyard - Dog
61,541274772,29,Palace Entrance Hall - Zombie
62,541274772,30,Palace Entrance Hall - Zombie
63,541274772,31,Palace Entrance Hall - Zombie
64,541274776,0,Palace Entrance Hall - Zombie
65,541274776,1,
66,541274776,2,Palace 1F Bathroom - Bat
67,541274776,3,Palace 1F Bathroom - Bat
68,541274776,4,Palace 1F Bathroom - Bat
69,541274776,5,Palace 1F Bathroom - Bat
70,541274776,6,Palace 1F Umbrella Meeting Room - Bandersnatch
71,541274776,7,Palace 1F Umbrella Meeting Room - Bandersnatch
72,541274776,8,Palace 1F Corridor - Zombie
73,541274776,9,Palace 1F Corridor - Zombie
74,541274776,10,Palace 1F Corridor - Zombie
75,541274776,11,Palace 1F Corridor - Zombie
76,541274776,12,Palace 2F Alfreds Office - Bandersnatch
77,541274776,13,
78,541274776,14,Palace 2F Residence Bridge - Zombie
79,541274776,15,Palace 2F Residence Bridge - Zombie
80,541274776,16,Palace 2F Residence Bridge - Zombie
81,541274776,17,Palace 2F Residence Bridge - Zombie
82,541274776,18,Palace 2F Residence Bridge - Zombie
83,541274776,19,
84,541274776,20,
85,541274776,21,Palace Passage - Zombie
86,541274776,22,Palace Passage - Zombie
87,541274776,23,Palace Passage - Zombie
88,541274776,24,Palace Passage - Zombie
89,541274776,25,Palace Passage - Tyrant
90,541274776,26,Palace Passage - Bandersnatch
91,541274776,27,Palace Passage - Bandersnatch
92,541274776,28,
93,541274776,29,
94,541274776,30,
95,541274776,31,Private Residence Courtyard - Bandersnatch (Respawns)
96,541274780,0,Private Residence Courtyard - Bandersnatch (Respawns)
97,541274780,1,Private Residence Entrance Hall - Bat
98,541274780,2,Private Residence Entrance Hall - Bat
99,541274780,3,Private Residence Entrance Hall - Bat
100,541274780,4,Private Residence Entrance Hall - Bat
101,541274780,5,Private Residence Entrance Hall - Bat
102,541274780,6,Private Residence Entrance Hall - Zombie
103,541274780,7,Private Residence Entrance Hall - Zombie
104,541274780,8,Private Residence Entrance Hall - Zombie
105,541274780,9,Private Residence Entrance Hall - Zombie
106,541274780,10,Private Residence 1F Dining Room - Bandersnatch
107,541274780,11,Private Residence 2F Bedroom Corridor - Zombie
108,541274780,12,Private Residence 2F Bedroom Corridor - Zombie
109,541274780,13,Private Residence 2F Bedroom Corridor - Zombie
110,541274780,14,Private Residence 2F Bedroom Corridor - Zombie
111,541274780,15,Military Training Facility Back Courtyard - Dog
112,541274780,16,Military Training Facility Back Courtyard - Dog
113,541274780,17,
114,541274780,18,Military Training Facility 1F Tank Yard - Dog
115,541274780,19,Military Training Facility 1F Tank Yard - Dog
116,541274780,20,Military Training Facility 1F Elevator Corridor - Zombie (Respawns)
117,541274780,21,Military Training Facility 1F Elevator Corridor - Zombie (Respawns)
118,541274780,22,
119,541274780,23,Military Training Facility 1F Lockers - Zombie
120,541274780,24,Military Training Facility 1F Lockers - Zombie
121,541274780,25,Military Training Facility 1F Lockers - Zombie
122,541274780,26,Military Training Facility 1F Lockers - Zombie
123,541274780,27,Military Training Facility 1F Swimming Pool - Zombie
124,541274780,28,Military Training Facility 1F Swimming Pool - Zombie
125,541274780,29,Military Training Facility 1F Front Office - Zombie
126,541274780,30,Military Training Facility 1F Front Office - Zombie
127,541274780,31,Military Training Facility 1F Front Office - Zombie
128,541274784,0,Military Training Facility 1F Excercise Yard - Dog
129,541274784,1,Military Training Facility 1F Excercise Yard - Dog
130,541274784,2,Military Training Facility 1F Excercise Yard - Dog
131,541274784,3,Military Training Facility 1F Excercise Yard - Gulp Worm
132,541274784,4,
133,541274784,5,Military Training Facility Warehouse - Bandersnatch
134,541274784,6,Military Training Facility 2F Command Center - Zombie
135,541274784,7,Military Training Facility 2F Command Center - Zombie
136,541274784,8,
137,541274784,9,Military Training Facility 2F Biological Laboratory - Baby Albinoid
138,541274784,10,Military Training Facility 2F Biological Laboratory - Baby Albinoid
139,541274784,11,Military Training Facility 2F Biological Laboratory - Baby Albinoid
140,541274784,12,Military Training Facility 2F Biological Laboratory - Baby Albinoid
141,541274784,13,Military Training Facility 2F Biological Laboratory - Baby Albinoid
142,541274784,14,Military Training Facility 2F Biological Laboratory - Baby Albinoid
143,541274784,15,Military Training Facility B1 Basement Storehouse - Zombie
144,541274784,16,Military Training Facility B1 Basement Storehouse - Zombie
145,541274784,17,Military Training Facility B1 Basement Storehouse - Zombie
146,541274784,18,Military Training Facility B1 Basement Storehouse - Zombie
147,541274784,19,Military Training Facility B1 Basement Storehouse - Explosive
148,541274784,20,Military Training Facility B1 Boiler Room - Zombie
149,541274784,21,Military Training Facility B1 Boiler Room - Explosive
150,541274784,22,Military Training Facility B1 Boiler Room - Explosive
151,541274784,23,Military Training Facility B1 Boiler Room - Zombie
152,541274784,24,Military Training Facility B1 Boiler Room - Zombie
153,541274784,25,Military Training Facility B1 Boiler Room - Zombie
154,541274784,26,Military Training Facility B1 Basement Storehouse Cargo Lift - Bandersnatch
155,541274784,27,Military Training Facility B1 Basement Storehouse Cargo Lift - Bandersnatch
156,541274784,28,Military Training Facility B1 Weapon Repair Shop - Zombie
157,541274784,29,Military Training Facility B1 Weapon Repair Shop - Zombie
158,541274784,30,Military Training Facility B1 Weapon Repair Shop - Zombie
159,541274784,31,Airport Check-in - Zombie (Respawns)
160,541274788,0,Airport Check-in - Zombie (Respawns)
161,541274788,1,Airport Check-in - Zombie (Respawns)
162,541274788,2,
163,541274788,3,
164,541274788,4,
165,541274788,5,
166,541274788,6,Airport Bridge - Bat (Respawns)
167,541274788,7,Airport Bridge - Bat (Respawns)
168,541274788,8,Airport Bridge - Bat (Respawns)
169,541274788,9,Airport Bridge - Bat (Respawns)
170,541274788,10,Airport Bridge - Bat (Respawns)
171,541274788,11,
172,541274788,12,
173,541274788,13,
174,541274788,14,
175,541274788,15,
176,541274788,16,
177,541274788,17,
178,541274788,18,
179,541274788,19,
180,541274788,20,Airport Cargo Bay - Zombie
181,541274788,21,Airport Cargo Bay - Zombie
182,541274788,22,Airport Cargo Bay - Zombie
183,541274788,23,Airport Cargo Bay - Zombie
184,541274788,24,Airport Cargo Bay - Zombie
185,541274788,25,Transport Plane Cargo Hold - Tyrant
186,541274788,26,Antartic Transport Terminal B1 Workmans Bunkhouse - Zombie
187,541274788,27,Antartic Transport Terminal B1 Workmans Bunkhouse - Zombie
188,541274788,28,Antartic Transport Terminal B1 Workmans Bunkhouse - Zombie
189,541274788,29,Antartic Transport Terminal B1 Workmans Bunkhouse - Zombie
190,541274788,30,Antartic Transport Terminal Sorting Room - Zombie (Respawns)
191,541274788,31,Antartic Transport Terminal Sorting Room - Zombie (Respawns)
192,541274792,0,Antartic Transport Terminal Sorting Room - Zombie (Respawns)
193,541274792,1,Antartic Transport Terminal Sorting Room - Zombie (Respawns)
194,541274792,2,Antartic Transport Terminal Sorting Room - Zombie (Respawns)
195,541274792,3,Antartic Transport Terminal Power Room - Dog
196,541274792,4,Antartic Transport Terminal Power Room - Dog
197,541274792,5,Antartic Transport Terminal Power Room - Dog
198,541274792,6,Antartic Transport Terminal B2 Weapon Room - Zombie
199,541274792,7,Antartic Transport Terminal B2 Weapon Room - Zombie
200,541274792,8,Antartic Transport Terminal B2 Weapon Room - Zombie
201,541274792,9,Antartic Transport Terminal B2 Weapon Room - Zombie
202,541274792,10,Antartic Transport Terminal B2 B.O.W. Room - Spider
203,541274792,11,Antartic Transport Terminal B2 B.O.W. Room - Spider
204,541274792,12,
205,541274792,13,Antartic Transport Terminal 1F Helipad - Nosferatu
206,541274792,14,
207,541274792,15,
208,541274792,16,Military Training Facility 2F Command Center - Zombie
209,541274792,17,Military Training Facility 2F Command Center - Zombie
210,541274792,18,Military Training Facility B1 Chemical Storage Room - Hunter
211,541274792,19,Military Training Facility Iron Walkway - Zombie
212,541274792,20,
213,541274792,21,Military Training Facility Specimen Lab - Bandersnatch
214,541274792,22,Military Training Facility Specimen Lab - Zombie
215,541274792,23,Military Training Facility Specimen Lab - Zombie
216,541274792,24,Military Training Facility Specimen Lab - Zombie
217,541274792,25,Military Training Facility B2 Jet Hangar Corridor - Hunter
218,541274792,26,Military Training Facility B2 Jet Hangar Corridor - ???
219,541274792,27,Military Training Facility B2 Jet Hangar Corridor - Spider
220,541274792,28,Military Training Facility B2 Jet Hangar Corridor - Spider
221,541274792,29,Military Training Facility B2 Water Pool - Alibonoid
222,541274792,30,Military Training Facility B1 Turn Table Room - Hunter
223,541274792,31,Military Training Facility B1 Turn Table Room - Hunter
224,541274796,0,Military Training Facility Garage - Zombie
225,541274796,1,Military Training Facility Garage - Zombie
226,541274796,2,Military Training Facility Garage - Zombie
227,541274796,3,Military Training Facility 1F Excercise Yard - Hunter
228,541274796,4,Military Training Facility 1F Excercise Yard - Hunter
229,541274796,5,Military Training Facility 1F Excercise Yard - Hunter
230,541274796,6,Military Training Facility 1F Excercise Yard - Hunter
231,541274796,7,Military Training Facility Back Courtyard - Zombie
