Index,Pointer,Bit,Name
0,541274512,0,
1,541274512,1,Game Start
2,541274512,2,Prison 1F Statue Room - Gas Leak Stopped
3,541274512,3,Palace Entrance Hall - Steve is Trapped
4,541274512,4,Palace Entrance Hall - Deactivate Security Lock System
5,541274512,5,
6,541274512,6,Palace B1 Submarine - Sidepack Equiped
7,541274512,7,Military Training Facility 2F Warehouse Corridor - Sidepack Equipped
8,541274512,8,
9,541274512,9,Prison 1F Barracks Yard - Unlock Small Gate with Padlock Key
10,541274512,10,Prison 1F Execution Yard - Open Shutter
11,541274512,11,Prison 1F Execution Yard - Placed Eagle Plate
12,541274512,12,Prison 1F Clinic - Placed Glass Eye
13,541274512,13,Palace 1F Display Room - Pushed Ant Button
14,541274512,14,Palace 1F Display Room - Security System Active
15,541274512,15,Palace 1F Display Room - Steve Saved
16,541274512,16,Palace 2F Alfreds Office - Bandersnatch Breaks Through Window
17,541274512,17,
18,541274512,18,Palace B1 Dock - Place Steering Wheel
19,541274512,19,Palace B1 Dock - Submarine Raised
20,541274512,20,Private Residence 2F Alfreds Bedroom - Place Music Box Plate
21,541274512,21,Private Residence 2F Alexias Bedroom - Find Alexia
22,541274512,22,Private Residence 2F Alexias Bedroom - Bed Ceiling Raised
23,541274512,23,Private Residence 3F Play Room - Place Sliver Dragonfly
24,541274512,24,
25,541274512,25,
26,541274512,26,Military Training Facility 1F Diorama Room - Reveal Hidden Room
27,541274512,27,Military Training Facility Lobby - Shutter Opened
28,541274512,28,Military Training Facility Lobby - Shutter Closed
29,541274512,29,
30,541274512,30,Military Training Facility 2F Command Center - Shutter Opened
31,541274512,31,
32,541274516,0,Military Training Facility 2F Warehouse Corridor - Shutter Closed
33,541274516,1,Military Training Facility B1 Basement Storehouse - Open Shutter
34,541274516,2,Military Training Facility B1 Boiler Room - Open Gate
35,541274516,3,Airport Bridge - Control Leaver Raised
36,541274516,4,Airport Cargo Transport - Elevator Raised?
37,541274516,5,Antartic Transport Terminal B2 Office - Revealed Passage Behind Bookcase
38,541274516,6,
39,541274516,7,
40,541274516,8,Military Training Facility Iron Walkway - Staircase Raised
41,541274516,9,Military Training Facility Iron Walkway - Unlock Manhole Cover
42,541274516,10,
43,541274516,11,Military Training Facility B1 Turn Table Room - Insert Turntable Key
44,541274516,12,Military Training Facility Garage - Place Battery Pack
45,541274516,13,
46,541274516,14,
47,541274516,15,
48,541274516,16,Military Training Facility B3 Tomb - Activate Lift
49,541274516,17,
50,541274516,18,
51,541274516,19,
52,541274516,20,
53,541274516,21,Prison 1F Security Corridor - Alarm Activated
54,541274516,22,Military Training Facility B1 Iron Walkway - Elevator on B1
55,541274516,23,Military Training Facility 1F Elevator Corridor - Elevator on 1F
56,541274516,24,Transport Plane Cockpit - Part One Complete Screen
57,541274516,25,
58,541274516,26,Military Training Facility B1 Chemical Storage Room - Set Chemical Temprature
59,541274516,27,Airport Cargo Bay - Lift Cargo Box?
60,541274516,28,Antartic Transport Terminal Sorting Room - Place Bar Code Sticker on Parcle
61,541274516,29,Palace 2F Alfreds Office - Passcode Entered
62,541274516,30,
63,541274516,31,
64,541274520,0,Airport Check-in - Water Puzzle Solved?
65,541274520,1,
66,541274520,2,
67,541274520,3,Airport Cargo Transport - Countdown Active
68,541274520,4,
69,541274520,5,Military Training Facility 2F Biological Laboratory - Biohazard Alarm Triggered?
70,541274520,6,
71,541274520,7,
72,541274520,8,
73,541274520,9,
74,541274520,10,
75,541274520,11,Antartic Transport Terminal 1F Helipad - Nosferatu Dead
76,541274520,12,
77,541274520,13,
78,541274520,14,
79,541274520,15,
80,541274520,16,
81,541274520,17,
82,541274520,18,
83,541274520,19,
84,541274520,20,
85,541274520,21,
86,541274520,22,
87,541274520,23,
88,541274520,24,
89,541274520,25,
90,541274520,26,
91,541274520,27,
92,541274520,28,
93,541274520,29,
94,541274520,30,
95,541274520,31,Antartic Transport Terminal B1 Silo - Part Two Begins
96,541274524,0,Prison B1 Cells - Give Hemostatic to Rodrigo
97,541274524,1,Prison B1 Cells - Talk to Rodrigo after giving him the Hemostatic 
98,541274524,2,Prison Iron Bridge - ???
99,541274524,3,Prison B1 Cells - After Equiping Lighter
100,541274524,4,Prison 1F Graveyard - Put out Truck Fire
101,541274524,5,
102,541274524,6,
103,541274524,7,
104,541274524,8,Prison 1F Graveyard - Truck Explodes
105,541274524,9,Prison 1F Barracks Yard - ???
106,541274524,10,Prison 1F Yard - Place Sp. Alloy Emblem
107,541274524,11,Prison 1F Yard - Steve Attacks!
108,541274524,12,Prison 1F Yard - Zombies Spawn
109,541274524,13,Prison 1F Barracks - ???
110,541274524,14,Prison 1F Computer Room - Release Shutter Lock
111,541274524,15,Prison 1F Computer Room - Claire finds Steve at the Computer
112,541274524,16,Prison 1F Barracks Yard - Body dragged away
113,541274524,17,Prison 1F Barracks Yard - After leaving barracks/Returning from Computer Room
114,541274524,18,Prison 1F Barracks Yard - Dog breaks through mesh
115,541274524,19,Prison 1F Barracks Yard - Dogs escaped
116,541274524,20,Prison 1F Bunkhouse - Zombie w/ M-100P bursts through window
117,541274524,21,Prison 1F Execution Yard - ???
118,541274524,22,Prison 1F Execution Yard - Push Shutter Button (Locked)
119,541274524,23,Prison 1F Execution Yard - Spawned Zombie Behind Wall
120,541274524,24,Prison 1F Security Corridor - Zombies Break Through
121,541274524,25,Prison 1F Security Corridor - Triggered Alarm
122,541274524,26,Prison 1F Security Corridor - Disabled Alarm
123,541274524,27,Prison 1F Security Corridor - Open 3D Scanner
124,541274524,28,Prison 1F Security Corridor - Placed Hawk Emblem in 3D Scanner
125,541274524,29,Prison 1F Security Corridor - Alloy Placed in 3D Printer/3D Print Complete
126,541274524,30,Prison 1F Security Corridor - Zombies Break Through
127,541274524,31,Prison Iron Bridge - Placed Box Over Fire
128,541274528,0,Prison 1F Clinic - Dr. Zombie Wriggles
129,541274528,1,Prison 1F Clinic - Dr. Zombie Fight
130,541274528,2,Prison 1F Cremetorium - Dr. Zombie Awake
131,541274528,3,
132,541274528,4,
133,541274528,5,Prison 1F Statue Room - Stop the Gas Leak
134,541274528,6,
135,541274528,7,Prison 1F Statue Room - Iron Statue Revealed
136,541274528,8,Prison 1F Statue Room - Iron Statue Opened
137,541274528,9,Prison 1F Backyard - Door to Computer Room Unblocked (Updates apon leaving room)
138,541274528,10,Prison 1F Backyard - ???
139,541274528,11,
140,541274528,12,
141,541274528,13,
142,541274528,14,Palace Courtyard - Steve Cutscene
143,541274528,15,
144,541274528,16,Palace Entrance Hall - Defaced Alexander Ashford Portrait
145,541274528,17,
146,541274528,18,Palace Entrance Hall - Steve Calls for Help
147,541274528,19,Palace Entrance Hall - Unlock Casino Lounge Door
148,541274528,20,
149,541274528,21,
150,541274528,22,Palace Entrance Hall - Rescue Steve
151,541274528,23,Palace Entrance Hall - Alfred Ashford Introduction
152,541274528,24,
153,541274528,25,
154,541274528,26,Palace 1F Portrait Room - Unlock Hidden Vase
155,541274528,27,Palace 1F Display Room - Steve State 2
156,541274528,28,Palace 1F Display Room - Steve State 3
157,541274528,29,Palace 1F Corridor - Unlock Umbrella Meeting Room Door
158,541274528,30,Palace 1F Corridor - Unlock Portrait Room Door
159,541274528,31,Palace 1F Display Room - Steve State 1
160,541274532,0,Palace 2F Secretarys Office - Place Lugers
161,541274532,1,Palace 2F Secretarys Office - Leave Office After Taking Card?
162,541274532,2,Palace 2F Secretarys Office - Leave Office After Taking Card?
163,541274532,3,Palace 2F Alfreds Office - ???
164,541274532,4,Palace 2F Alfreds Office - Turn on Computer
165,541274532,5,Palace 2F Residence Bridge - ???
166,541274532,6,Palace 2F Casino Lounge - Piano is Playing
167,541274532,7,Palace 2F Casino Lounge - Place Music Notes in Piano
168,541274532,8,Palace Passage - Spawn Bandersnatch
169,541274532,9,Palace Passage - Tyrant Fight
170,541274532,10,Palace B1 Dock - Platform Extended
171,541274532,11,Palace B1 Dock - Steve Extends the Platform
172,541274532,12,Palace B1 Submarine - Steve Lowers the Submarine
173,541274532,13,Private Residence Courtyard - Bandersnatch Spawns
174,541274532,14,Private Residence Entrance Hall - ???
175,541274532,15,Private Residence 1F Dining Room - Light Fire
176,541274532,16,Private Residence 2F Bedroom Corridor - Alfred/Alexia Discussion 
177,541274532,17,
178,541274532,18,
179,541274532,19,Private Residence 2F Alfreds Bedroom - Place King Ant
180,541274532,20,Private Residence 2F Alfreds Bedroom - Alfred is Alexia!
181,541274532,21,Palace Courtyard - Self-destruct sequence activated
182,541274532,22,
183,541274532,23,Private Residence 2F Alexias Bedroom - Music Box Closed
