Index,Pointer,Bit,Name
0,541274640,0,
1,541274640,1,Prison 1F Graveyard - Briefcase
2,541274640,2,Prison 1F Execution Yard - Padlock Key
3,541274640,3,Prison 1F Computer Room - Hawk Emblem
4,541274640,4,Prison 1F Execution Yard - Extinguisher
5,541274640,5,Prison 1F Security Corridor - Sp. Alloy Emblem
6,541274640,6,Prison 1F Clinic - Glass Eye
7,541274640,7,Prison 1F Statue Room - Piano Roll
8,541274640,8,Prison 1F Statue Room - Rusted Sword
9,541274640,9,Palace Courtyard - Navy Proof
10,541274640,10,Palace 1F Portrait Room - Earthenware Vase
11,541274640,11,Palace 1F Display Room - Steering Wheel
12,541274640,12,Palace 1F Umbrella Meeting Room - Eagle Plate
13,541274640,13,Palace 2F Casino Lounge - King Ant Object
14,541274640,14,
15,541274640,15,Private Residence 2F Alexias Bedroom - Sliver Key
16,541274640,16,Private Residence 2F Alexias Bedroom - Music Box Plate
17,541274640,17,Private Residence 3F Play Room - Silver Dragonfly
18,541274640,18,Private Residence 4F Private Study - Air Force Proof
19,541274640,19,Military Training Facility Back Courtyard - Emblem Card
20,541274640,20,Military Training Facility 1F Diorama Room - Gold Key
21,541274640,21,Military Training Facility 1F Diorama Room - Eagle Plate
22,541274640,22,Military Training Facility 1F Swimming Pool - Key with Tag
23,541274640,23,Military Training Facility 2F Warehouse Managers Room - Hemostatic
24,541274640,24,Military Training Facility 2F Command Center - Army Proof
25,541274640,25,Military Training Facility 2F Biological Laboratory - Skeleton Picture
26,541274640,26,Airport Check-in - Airport Key
27,541274640,27,Airport Cargo Bay - Biohazard Card
28,541274640,28,Transport Plane Cockpit - Control Leaver
29,541274640,29,Antartic Transport Terminal B2 Office - Plant Pot
30,541274640,30,Antartic Transport Terminal Power Room - Valve Handle
31,541274640,31,Antartic Transport Terminal B2 Weapon Room - Mining Room Key
32,541274644,0,Antartic Transport Terminal B2 B.O.W. Room - Bar Code Sticker
33,541274644,1,Military Training Facility 1F Diorama Room - Turn Table Key
34,541274644,2,Military Training Facility B1 Weapon Repair Shop - Clement Alpha
35,541274644,3,Military Training Facility B1 Chemical Storage Room - Clement Sigma
36,541274644,4,Military Training Facility B2 Jet Hangar Corridor - Battery Pack
37,541274644,5,Military Training Facility B1 Turn Table Room - Door Knob
38,541274644,6,Military Training Facility Garage - Tank Object
39,541274644,7,Military Training Facility Garage - Chem. Storage Key
40,541274644,8,Military Training Facility B2 Water Pool - Eagle Plate
41,541274644,9,Antartic Transport Terminal B2 Office - Paper Weight
42,541274644,10,
43,541274644,11,
44,541274644,12,
45,541274644,13,Antartic Transport Terminal B5 Mansion Courtyard - Wing Object
46,541274644,14,
47,541274644,15,
48,541274644,16,Antartic Transport Terminal B1 Mining Room - Octa Valve Handle
49,541274644,17,
50,541274644,18,
51,541274644,19,
52,541274644,20,
53,541274644,21,
54,541274644,22,
55,541274644,23,
56,541274644,24,
57,541274644,25,
58,541274644,26,
59,541274644,27,Airport Bridge - Army Proof
60,541274644,28,Airport Bridge - Navy Proof
61,541274644,29,Airport Bridge - Air Force Proof
62,541274644,30,Military Training Facility Warehouse - Sub Machine Gun
63,541274644,31,Antartic Transport Terminal B2 B.O.W. Room - Gas Mask
64,541274648,0,
65,541274648,1,
66,541274648,2,Palace 2F Secretarys Office - ID Card
67,541274648,3,
68,541274648,4,
69,541274648,5,
70,541274648,6,
71,541274648,7,
72,541274648,8,
73,541274648,9,
74,541274648,10,
75,541274648,11,
76,541274648,12,
77,541274648,13,
78,541274648,14,
79,541274648,15,
80,541274648,16,
81,541274648,17,
82,541274648,18,
83,541274648,19,
84,541274648,20,
85,541274648,21,
86,541274648,22,
87,541274648,23,
88,541274648,24,
89,541274648,25,
90,541274648,26,
91,541274648,27,
92,541274648,28,
93,541274648,29,
94,541274648,30,
95,541274648,31,
96,541274652,0,Prison 1F Computer Room - Fax on the Facility Access Application
97,541274652,1,Prison 1F Bunkhouse - Prisoner's Diary
98,541274652,2,Prison 1F Security Corridor - Users Manual
99,541274652,3,Palace 1F Portrait Room - Message to the new Family Master
100,541274652,4,Palace 1F Umbrella Meeting Room - Hunk's Report
101,541274652,5,
102,541274652,6,Private Residence 4F Private Study - Confession Letter
103,541274652,7,Military Training Facility 2F Emergency Door - ???
104,541274652,8,Antartic Transport Terminal B1 Workmans Bunkhouse - Workers Diary
105,541274652,9,Antartic Transport Terminal B2 Office - Alexander's Memo
106,541274652,10,Military Training Facility 1F Diorama Room - Secret Passage Note
107,541274652,11,Military Training Facility Garage - Report: Enhanced Anti-Decay Alloy
108,541274652,12,Antartic Transport Terminal B2 Office - Alfred's Diary
109,541274652,13,
110,541274652,14,
111,541274652,15,
112,541274652,16,Private Residence 2F Alfreds Bedroom - Message Card
113,541274652,17,Antartic Transport Terminal B2 Office - Butler's Letter
114,541274652,18,Palace 2F Secretarys Office - Secretary's Note
115,541274652,19,Prison 1F Clinic - F. Aid Spray
116,541274652,20,
117,541274652,21,
118,541274652,22,
119,541274652,23,
120,541274652,24,Prison B1 Cells - Combat Knife
121,541274652,25,Prison B1 Cells - Handgun Bullets
122,541274652,26,Prison B1 Cells - Green Herb
123,541274652,27,Prison B1 Entry - Ink Ribbon
124,541274652,28,Prison B1 Entry - Handgun Bullets
125,541274652,29,
126,541274652,30,
127,541274652,31,Prison 1F Yard - Handgun Bullets
128,541274656,0,
129,541274656,1,Prison 1F Computer Room - Ink Ribbon
130,541274656,2,Prison 1F Barracks Yard - Green Herb
131,541274656,3,Prison 1F Barracks - Green Herb
132,541274656,4,Prison 1F Barracks - Handgun Bullets
133,541274656,5,Prison 1F Barracks - Prison Map
134,541274656,6,Prison 1F Bunkhouse - Handgun Bullets
135,541274656,7,Prison 1F Bunkhouse - Handgun Bullets
136,541274656,8,Prison 1F Bunkhouse - M-100P
137,541274656,9,
138,541274656,10,Prison 1F Security Corridor - F. Aid Spray
139,541274656,11,Prison 1F Security Corridor - Flame Rounds
140,541274656,12,Prison 1F Security Corridor - BOW Gas Rounds
141,541274656,13,
142,541274656,14,Prison Iron Bridge - Handgun Bullets
143,541274656,15,Prison Iron Bridge - Green Herb
144,541274656,16,Prison Iron Bridge - Green Herb
145,541274656,17,Prison 1F Clinic - Anatomist's Note
146,541274656,18,Prison 1F Clinic - Handgun Bullets
147,541274656,19,Prison 1F Cremetorium - Duralumin Case
148,541274656,20,Prison 1F Cremetorium - Handgun Bullets
149,541274656,21,Prison 1F Cremetorium - Red Herb
150,541274656,22,Prison 1F Secret Corridor - Green Herb
151,541274656,23,Prison 1F Secret Corridor - ???
152,541274656,24,Prison 1F Torture Chamber - Handgun Bullets
153,541274656,25,Prison 1F Torture Chamber - Bow Gun Arrows
154,541274656,26,Prison 1F Backyard - Green Herb
155,541274656,27,Prison 1F Backyard - Handgun Bullets
156,541274656,28,Prison 1F Backyard - ???
157,541274656,29,Palace Courtyard - Green Herb
158,541274656,30,Palace Courtyard - ???
159,541274656,31,Palace Entrance Hall - Handgun Bullets
160,541274660,0,Palace 1F Bathroom - Duralumin Case
